,1.0,0.5,0.4,0.3,0.2,0.1,0.05,0.01,0.001,0.0001,1e-05,1e-06
0,99,99,99,98,98,99,99,98,98,98,98,98
1,199,199,199,198,198,199,199,198,198,198,198,198
2,297,296,295,296,296,297,297,296,296,296,296,296
3,397,395,393,394,393,396,395,394,394,394,394,394
4,497,493,490,492,490,493,492,492,491,491,491,491
5,595,591,588,590,588,591,590,590,589,589,589,589
6,694,690,685,690,686,689,689,688,687,688,688,688
7,794,790,785,789,786,788,789,788,787,788,788,788
8,891,888,883,888,885,887,888,887,886,887,887,887
9,989,985,979,984,983,983,984,983,982,983,983,983
10,1086,1083,1077,1082,1081,1081,1082,1081,1080,1081,1081,1081
11,1181,1181,1175,1180,1180,1179,1180,1180,1179,1180,1180,1180
12,1272,1274,1270,1275,1274,1274,1276,1276,1275,1276,1276,1276
13,1366,1372,1368,1373,1373,1373,1375,1375,1374,1375,1375,1375
14,1440,1472,1468,1473,1473,1472,1474,1474,1473,1474,1474,1474
15,1497,1570,1567,1572,1572,1571,1573,1573,1572,1573,1573,1573
16,1536,1667,1666,1671,1671,1669,1671,1671,1670,1671,1671,1671
17,1572,1764,1765,1770,1770,1768,1769,1770,1769,1770,1770,1770
18,1601,1864,1863,1869,1869,1867,1868,1869,1868,1869,1869,1869
19,1623,1962,1960,1968,1968,1966,1967,1968,1967,1968,1968,1968
20,1641,2055,2058,2064,2066,2063,2066,2067,2066,2067,2067,2067
21,1662,2146,2152,2159,2162,2159,2161,2163,2162,2163,2163,2163
22,1688,2243,2250,2258,2261,2258,2260,2262,2261,2262,2262,2262
23,1710,2339,2348,2356,2360,2356,2359,2361,2360,2361,2361,2361
24,1724,2431,2443,2453,2458,2453,2457,2459,2458,2459,2459,2459
25,1734,2523,2539,2552,2558,2553,2557,2559,2558,2559,2559,2559
26,1743,2611,2634,2651,2657,2652,2656,2658,2657,2658,2658,2658
27,1756,2684,2725,2750,2756,2751,2755,2757,2756,2757,2757,2757
28,1768,2769,2819,2848,2854,2850,2854,2856,2855,2856,2856,2856
29,1779,2843,2910,2945,2950,2947,2952,2954,2953,2954,2954,2954
30,1791,2912,3002,3041,3048,3044,3050,3051,3051,3051,3052,3052
31,1799,2966,3095,3141,3147,3144,3150,3151,3151,3151,3152,3152
32,1815,3020,3185,3240,3246,3244,3250,3251,3251,3251,3252,3252
33,1824,3060,3268,3338,3345,3342,3349,3350,3350,3350,3351,3351
34,1838,3092,3354,3436,3443,3440,3448,3449,3449,3449,3450,3450
35,1845,3118,3436,3531,3540,3537,3546,3547,3547,3547,3548,3548
36,1861,3149,3520,3631,3640,3637,3646,3647,3647,3647,3648,3648
37,1872,3174,3597,3727,3737,3736,3744,3746,3746,3746,3747,3747
38,1880,3195,3670,3822,3835,3835,3843,3845,3845,3845,3846,3846
39,1890,3213,3740,3915,3930,3932,3941,3943,3943,3943,3944,3944
40,1907,3239,3803,4009,4026,4028,4039,4040,4040,4040,4041,4041
41,1925,3271,3858,4107,4124,4127,4138,4139,4139,4139,4140,4140
42,1935,3289,3902,4199,4222,4225,4236,4237,4237,4237,4238,4238
43,1944,3309,3939,4292,4319,4325,4336,4337,4337,4337,4338,4338
44,1948,3322,3967,4385,4419,4425,4435,4437,4437,4437,4438,4438
45,1962,3341,3997,4474,4515,4524,4533,4535,4535,4535,4536,4536
46,1976,3359,4026,4563,4613,4624,4633,4635,4635,4635,4636,4636
47,1987,3378,4059,4653,4711,4721,4730,4733,4733,4733,4734,4734
48,1997,3392,4093,4732,4806,4819,4828,4831,4831,4831,4832,4832
49,2011,3406,4115,4807,4906,4919,4927,4930,4931,4931,4932,4932
50,2024,3419,4138,4888,5006,5019,5027,5030,5031,5031,5032,5032
51,2033,3428,4161,4959,5105,5118,5127,5130,5131,5131,5132,5132
52,2044,3439,4179,5033,5204,5217,5226,5229,5230,5230,5231,5231
53,2055,3450,4197,5109,5304,5317,5326,5329,5330,5330,5331,5331
54,2067,3462,4220,5179,5404,5417,5426,5429,5430,5430,5431,5431
55,2081,3476,4240,5231,5504,5517,5526,5529,5530,5530,5531,5531
56,2093,3488,4259,5269,5598,5615,5625,5628,5629,5629,5630,5630
57,2103,3498,4278,5313,5694,5715,5725,5728,5729,5729,5730,5730
58,2115,3510,4298,5345,5794,5815,5825,5828,5829,5829,5830,5830
59,2126,3521,4316,5369,5891,5913,5923,5927,5928,5928,5929,5929
60,2136,3531,4330,5393,5983,6010,6022,6025,6026,6026,6027,6027
61,2147,3542,4344,5421,6075,6104,6122,6122,6123,6122,6125,6125
62,2157,3552,4355,5448,6174,6204,6222,6222,6223,6222,6225,6225
63,2166,3561,4368,5481,6274,6304,6322,6322,6323,6322,6325,6325
64,2177,3572,4379,5506,6373,6404,6422,6422,6423,6422,6425,6425
65,2186,3581,4388,5522,6457,6499,6518,6518,6519,6518,6521,6521
66,2203,3598,4405,5556,6542,6598,6616,6616,6617,6616,6619,6619
67,2217,3612,4419,5576,6632,6697,6715,6715,6716,6715,6718,6718
68,2225,3620,4430,5597,6725,6797,6815,6815,6816,6815,6818,6818
69,2235,3630,4440,5613,6812,6897,6915,6915,6916,6915,6918,6918
