,1.0,0.5,0.4,0.3,0.2,0.1,0.05,0.01,0.001,0.0001,1e-05,1e-06
0,98,98,98,99,98,98,98,98,98,98,98,98
1,198,198,198,199,198,198,198,198,198,198,198,198
2,296,296,296,297,296,296,296,296,296,296,296,296
3,394,394,394,395,394,394,394,394,394,394,394,394
4,494,492,491,492,492,492,492,492,491,492,491,491
5,594,590,589,590,590,590,590,590,589,590,589,589
6,691,689,687,687,688,689,688,688,688,689,688,688
7,790,789,787,787,787,789,787,788,788,789,788,788
8,888,887,886,886,886,888,886,887,887,888,887,887
9,984,985,982,982,982,984,982,983,983,984,983,983
10,1080,1083,1080,1080,1080,1082,1080,1081,1081,1082,1081,1081
11,1176,1181,1177,1179,1177,1181,1178,1180,1180,1181,1180,1180
12,1263,1276,1271,1275,1272,1276,1274,1276,1276,1277,1276,1276
13,1345,1375,1370,1373,1371,1375,1373,1375,1375,1376,1375,1375
14,1408,1475,1470,1472,1470,1474,1473,1475,1474,1475,1474,1474
15,1458,1573,1568,1570,1569,1573,1572,1574,1573,1574,1573,1573
16,1494,1671,1667,1668,1667,1671,1670,1672,1671,1672,1671,1671
17,1521,1770,1765,1767,1765,1769,1769,1771,1770,1771,1770,1770
18,1547,1869,1865,1866,1864,1868,1868,1870,1869,1870,1869,1869
19,1564,1968,1964,1965,1963,1967,1967,1969,1968,1969,1968,1968
20,1576,2065,2061,2064,2060,2065,2064,2068,2067,2068,2067,2067
21,1589,2162,2157,2160,2155,2162,2160,2164,2163,2164,2163,2163
22,1607,2260,2255,2259,2254,2261,2259,2263,2262,2263,2262,2262
23,1624,2358,2353,2357,2353,2360,2358,2362,2361,2362,2361,2361
24,1632,2451,2450,2455,2451,2458,2456,2460,2459,2460,2459,2459
25,1642,2545,2548,2555,2551,2558,2556,2560,2559,2560,2559,2559
26,1650,2642,2646,2654,2651,2657,2655,2659,2658,2659,2658,2658
27,1663,2729,2742,2753,2750,2756,2754,2758,2757,2758,2757,2757
28,1674,2815,2841,2852,2849,2855,2853,2857,2856,2857,2856,2856
29,1685,2895,2936,2948,2947,2952,2951,2955,2954,2955,2954,2954
30,1697,2974,3032,3046,3045,3050,3048,3053,3052,3053,3052,3052
31,1705,3039,3131,3146,3145,3150,3148,3153,3152,3153,3152,3152
32,1721,3101,3225,3246,3245,3250,3248,3253,3252,3253,3252,3252
33,1729,3154,3315,3343,3344,3349,3347,3352,3351,3352,3351,3351
34,1743,3194,3402,3440,3441,3448,3445,3451,3450,3451,3450,3450
35,1750,3223,3485,3536,3539,3546,3543,3549,3548,3549,3548,3548
36,1766,3252,3574,3636,3639,3646,3643,3649,3648,3649,3648,3648
37,1777,3275,3651,3734,3738,3745,3743,3748,3747,3748,3747,3747
38,1785,3297,3714,3831,3837,3844,3842,3847,3846,3847,3846,3846
39,1795,3315,3777,3926,3935,3942,3939,3945,3944,3945,3944,3944
40,1812,3341,3822,4023,4032,4038,4036,4042,4041,4042,4041,4041
41,1830,3373,3868,4119,4131,4138,4135,4141,4140,4141,4140,4140
42,1840,3391,3903,4211,4229,4236,4232,4239,4238,4239,4238,4238
43,1849,3412,3939,4307,4329,4336,4332,4339,4338,4339,4338,4338
44,1853,3426,3963,4406,4428,4436,4432,4439,4438,4439,4438,4438
45,1867,3447,3986,4498,4528,4535,4529,4536,4536,4537,4536,4536
46,1881,3469,4012,4594,4628,4635,4629,4636,4636,4637,4636,4636
47,1892,3489,4039,4685,4725,4732,4727,4734,4734,4735,4734,4734
48,1902,3508,4064,4773,4823,4830,4825,4832,4832,4833,4832,4832
49,1916,3526,4087,4858,4923,4930,4925,4932,4932,4933,4932,4932
50,1929,3547,4109,4950,5021,5030,5025,5032,5032,5033,5032,5032
51,1938,3567,4130,5036,5120,5129,5125,5131,5132,5133,5132,5132
52,1949,3586,4147,5118,5218,5228,5224,5230,5231,5232,5231,5231
53,1960,3606,4165,5207,5318,5328,5324,5330,5331,5332,5331,5331
